NAME,Industry,Year,Total Employed
"Houston city, Texas",Agriculture,2022,24439
"Bakersfield city, California",Agriculture,2022,15802
"Midland city, Texas",Agriculture,2022,13621
"Oxnard city, California",Agriculture,2022,12883
"Salinas city, California",Agriculture,2022,11190
"Santa Maria city, California",Agriculture,2022,9037
"Fresno city, California",Agriculture,2022,8625
"Oklahoma City city, Oklahoma",Agriculture,2022,8391
"Los Angeles city, California",Agriculture,2022,7260
"Delano city, California",Agriculture,2022,6458
"Odessa city, Texas",Agriculture,2022,5577
"San Antonio city, Texas",Agriculture,2022,5305
"Madera city, California",Agriculture,2022,4902
"Porterville city, California",Agriculture,2022,4735
"Salem city, Oregon",Agriculture,2022,4600
"Denver city, Colorado",Agriculture,2022,4396
"Stockton city, California",Agriculture,2022,4355
"Yakima city, Washington",Agriculture,2022,4174
"Phoenix city, Arizona",Agriculture,2022,4159
"Laredo city, Texas",Agriculture,2022,4085
"New York city, New York",Construction,2022,194970
"Los Angeles city, California",Construction,2022,133402
"Houston city, Texas",Construction,2022,131472
"Phoenix city, Arizona",Construction,2022,71545
"Dallas city, Texas",Construction,2022,70617
"San Antonio city, Texas",Construction,2022,63680
"Chicago city, Illinois",Construction,2022,50507
"Charlotte city, North Carolina",Construction,2022,39871
"Fort Worth city, Texas",Construction,2022,35841
"San Diego city, California",Construction,2022,34381
"Jacksonville city, Florida",Construction,2022,34245
"Miami city, Florida",Construction,2022,30924
"Austin city, Texas",Construction,2022,30328
"Indianapolis city (balance), Indiana",Construction,2022,29473
"San Jose city, California",Construction,2022,29066
"Denver city, Colorado",Construction,2022,28401
"Philadelphia city, Pennsylvania",Construction,2022,27607
"Oklahoma City city, Oklahoma",Construction,2022,26637
"Las Vegas city, Nevada",Construction,2022,24278
"Mesa city, Arizona",Construction,2022,23258
"Los Angeles city, California",Manufacturing,2022,138065
"New York city, New York",Manufacturing,2022,113263
"Chicago city, Illinois",Manufacturing,2022,102217
"Houston city, Texas",Manufacturing,2022,86507
"San Jose city, California",Manufacturing,2022,86121
"San Diego city, California",Manufacturing,2022,69546
"Phoenix city, Arizona",Manufacturing,2022,56466
"Indianapolis city (balance), Indiana",Manufacturing,2022,47016
"Fort Worth city, Texas",Manufacturing,2022,46098
"Dallas city, Texas",Manufacturing,2022,45980
"Austin city, Texas",Manufacturing,2022,42148
"Milwaukee city, Wisconsin",Manufacturing,2022,41877
"Philadelphia city, Pennsylvania",Manufacturing,2022,40728
"Louisville/Jefferson County metro government (balance), Kentucky",Manufacturing,2022,40319
"San Antonio city, Texas",Manufacturing,2022,40084
"Detroit city, Michigan",Manufacturing,2022,38440
"Charlotte city, North Carolina",Manufacturing,2022,38306
"Columbus city, Ohio",Manufacturing,2022,36941
"Portland city, Oregon",Manufacturing,2022,32427
"Wichita city, Kansas",Manufacturing,2022,32156
"New York city, New York",Wholesale,2022,64281
"Los Angeles city, California",Wholesale,2022,44270
"Chicago city, Illinois",Wholesale,2022,27751
"Houston city, Texas",Wholesale,2022,27300
"Dallas city, Texas",Wholesale,2022,17787
"Phoenix city, Arizona",Wholesale,2022,16305
"San Antonio city, Texas",Wholesale,2022,14257
"Philadelphia city, Pennsylvania",Wholesale,2022,14117
"Columbus city, Ohio",Wholesale,2022,12811
"Fort Worth city, Texas",Wholesale,2022,11980
"San Diego city, California",Wholesale,2022,11405
"Louisville/Jefferson County metro government (balance), Kentucky",Wholesale,2022,10452
"Jacksonville city, Florida",Wholesale,2022,10434
"Indianapolis city (balance), Indiana",Wholesale,2022,10257
"Charlotte city, North Carolina",Wholesale,2022,8524
"Austin city, Texas",Wholesale,2022,8174
"Portland city, Oregon",Wholesale,2022,8006
"Oklahoma City city, Oklahoma",Wholesale,2022,7901
"Nashville-Davidson metropolitan government (balance), Tennessee",Wholesale,2022,7710
"Arlington city, Texas",Wholesale,2022,7594
"New York city, New York",Retail,2022,362662
"Los Angeles city, California",Retail,2022,196369
"Houston city, Texas",Retail,2022,125409
"Chicago city, Illinois",Retail,2022,124498
"Phoenix city, Arizona",Retail,2022,105292
"San Antonio city, Texas",Retail,2022,84745
"Philadelphia city, Pennsylvania",Retail,2022,75309
"Dallas city, Texas",Retail,2022,73676
"San Diego city, California",Retail,2022,65246
"Jacksonville city, Florida",Retail,2022,62090
"Austin city, Texas",Retail,2022,60614
"Seattle city, Washington",Retail,2022,60450
"Fort Worth city, Texas",Retail,2022,60161
"Columbus city, Ohio",Retail,2022,56370
"Indianapolis city (balance), Indiana",Retail,2022,53138
"San Jose city, California",Retail,2022,49145
"Charlotte city, North Carolina",Retail,2022,48642
"Oklahoma City city, Oklahoma",Retail,2022,42700
"Nashville-Davidson metropolitan government (balance), Tennessee",Retail,2022,41720
"Denver city, Colorado",Retail,2022,40983
"New York city, New York",Transportation,2022,281079
"Los Angeles city, California",Transportation,2022,107301
"Chicago city, Illinois",Transportation,2022,105183
"Houston city, Texas",Transportation,2022,83181
"Phoenix city, Arizona",Transportation,2022,57540
"Dallas city, Texas",Transportation,2022,48527
"Fort Worth city, Texas",Transportation,2022,47368
"Memphis city, Tennessee",Transportation,2022,46200
"Philadelphia city, Pennsylvania",Transportation,2022,44650
"Columbus city, Ohio",Transportation,2022,41203
"Charlotte city, North Carolina",Transportation,2022,39995
"Indianapolis city (balance), Indiana",Transportation,2022,39185
"San Antonio city, Texas",Transportation,2022,37964
"Jacksonville city, Florida",Transportation,2022,37703
"Louisville/Jefferson County metro government (balance), Kentucky",Transportation,2022,32389
"San Diego city, California",Transportation,2022,29907
"Austin city, Texas",Transportation,2022,24502
"Nashville-Davidson metropolitan government (balance), Tennessee",Transportation,2022,22689
"San Francisco city, California",Transportation,2022,22592
"Denver city, Colorado",Transportation,2022,21706
"New York city, New York",Information,2022,165682
"Los Angeles city, California",Information,2022,130212
"Seattle city, Washington",Information,2022,32982
"Chicago city, Illinois",Information,2022,29720
"San Francisco city, California",Information,2022,28320
"San Jose city, California",Information,2022,27638
"Austin city, Texas",Information,2022,22151
"Denver city, Colorado",Information,2022,16823
"San Diego city, California",Information,2022,16369
"Washington city, District of Columbia",Information,2022,15429
"Dallas city, Texas",Information,2022,15306
"Nashville-Davidson metropolitan government (balance), Tennessee",Information,2022,13424
"Phoenix city, Arizona",Information,2022,12824
"Sunnyvale city, California",Information,2022,12433
"Atlanta city, Georgia",Information,2022,12204
"San Antonio city, Texas",Information,2022,11936
"Philadelphia city, Pennsylvania",Information,2022,11456
"Houston city, Texas",Information,2022,11431
"Oakland city, California",Information,2022,11301
"Portland city, Oregon",Information,2022,10522
"New York city, New York",Finance and Real Estate,2022,373328
"Chicago city, Illinois",Finance and Real Estate,2022,128461
"Los Angeles city, California",Finance and Real Estate,2022,110895
"Phoenix city, Arizona",Finance and Real Estate,2022,85216
"Charlotte city, North Carolina",Finance and Real Estate,2022,77378
"Houston city, Texas",Finance and Real Estate,2022,70158
"Dallas city, Texas",Finance and Real Estate,2022,67818
"San Antonio city, Texas",Finance and Real Estate,2022,58607
"Jacksonville city, Florida",Finance and Real Estate,2022,54426
"Philadelphia city, Pennsylvania",Finance and Real Estate,2022,51389
"Columbus city, Ohio",Finance and Real Estate,2022,46996
"Austin city, Texas",Finance and Real Estate,2022,46781
"San Diego city, California",Finance and Real Estate,2022,45084
"San Francisco city, California",Finance and Real Estate,2022,41043
"Fort Worth city, Texas",Finance and Real Estate,2022,39578
"Denver city, Colorado",Finance and Real Estate,2022,35935
"Boston city, Massachusetts",Finance and Real Estate,2022,35652
"Nashville-Davidson metropolitan government (balance), Tennessee",Finance and Real Estate,2022,32989
"Indianapolis city (balance), Indiana",Finance and Real Estate,2022,28295
"Miami city, Florida",Finance and Real Estate,2022,26803
"New York city, New York","Professional, scientific, and management, and administrative and waste management services",2022,603458
"Los Angeles city, California","Professional, scientific, and management, and administrative and waste management services",2022,313585
"Chicago city, Illinois","Professional, scientific, and management, and administrative and waste management services",2022,252738
"Houston city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,185635
"Austin city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,140354
"San Diego city, California","Professional, scientific, and management, and administrative and waste management services",2022,133732
"San Francisco city, California","Professional, scientific, and management, and administrative and waste management services",2022,127096
"Phoenix city, Arizona","Professional, scientific, and management, and administrative and waste management services",2022,122150
"Dallas city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,113261
"Seattle city, Washington","Professional, scientific, and management, and administrative and waste management services",2022,110496
"San Jose city, California","Professional, scientific, and management, and administrative and waste management services",2022,105842
"Philadelphia city, Pennsylvania","Professional, scientific, and management, and administrative and waste management services",2022,98783
"Denver city, Colorado","Professional, scientific, and management, and administrative and waste management services",2022,94099
"Washington city, District of Columbia","Professional, scientific, and management, and administrative and waste management services",2022,92089
"San Antonio city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,89760
"Charlotte city, North Carolina","Professional, scientific, and management, and administrative and waste management services",2022,82465
"Jacksonville city, Florida","Professional, scientific, and management, and administrative and waste management services",2022,68367
"Boston city, Massachusetts","Professional, scientific, and management, and administrative and waste management services",2022,67939
"Portland city, Oregon","Professional, scientific, and management, and administrative and waste management services",2022,66099
"Atlanta city, Georgia","Professional, scientific, and management, and administrative and waste management services",2022,65668
"New York city, New York",Education and Health,2022,1135857
"Los Angeles city, California",Education and Health,2022,397881
"Chicago city, Illinois",Education and Health,2022,326116
"Philadelphia city, Pennsylvania",Education and Health,2022,249246
"Houston city, Texas",Education and Health,2022,220319
"Phoenix city, Arizona",Education and Health,2022,164815
"San Diego city, California",Education and Health,2022,163883
"San Antonio city, Texas",Education and Health,2022,162562
"Boston city, Massachusetts",Education and Health,2022,121683
"Dallas city, Texas",Education and Health,2022,117604
"Columbus city, Ohio",Education and Health,2022,115379
"Austin city, Texas",Education and Health,2022,112686
"Seattle city, Washington",Education and Health,2022,101340
"Indianapolis city (balance), Indiana",Education and Health,2022,100488
"San Francisco city, California",Education and Health,2022,98134
"Jacksonville city, Florida",Education and Health,2022,96612
"Denver city, Colorado",Education and Health,2022,91706
"Fort Worth city, Texas",Education and Health,2022,91405
"San Jose city, California",Education and Health,2022,89621
"Charlotte city, North Carolina",Education and Health,2022,88695
"New York city, New York","Arts, Entertainment, and Food",2022,378104
"Los Angeles city, California","Arts, Entertainment, and Food",2022,246240
"Chicago city, Illinois","Arts, Entertainment, and Food",2022,121411
"Houston city, Texas","Arts, Entertainment, and Food",2022,106910
"San Antonio city, Texas","Arts, Entertainment, and Food",2022,83947
"Phoenix city, Arizona","Arts, Entertainment, and Food",2022,81548
"San Diego city, California","Arts, Entertainment, and Food",2022,78661
"Las Vegas city, Nevada","Arts, Entertainment, and Food",2022,65660
"Philadelphia city, Pennsylvania","Arts, Entertainment, and Food",2022,62253
"Dallas city, Texas","Arts, Entertainment, and Food",2022,61875
"Austin city, Texas","Arts, Entertainment, and Food",2022,53475
"Columbus city, Ohio","Arts, Entertainment, and Food",2022,50482
"San Jose city, California","Arts, Entertainment, and Food",2022,47426
"Jacksonville city, Florida","Arts, Entertainment, and Food",2022,45625
"Nashville-Davidson metropolitan government (balance), Tennessee","Arts, Entertainment, and Food",2022,44894
"Fort Worth city, Texas","Arts, Entertainment, and Food",2022,41946
"Portland city, Oregon","Arts, Entertainment, and Food",2022,39025
"San Francisco city, California","Arts, Entertainment, and Food",2022,38568
"Indianapolis city (balance), Indiana","Arts, Entertainment, and Food",2022,38398
"Seattle city, Washington","Arts, Entertainment, and Food",2022,37783
"New York city, New York","Others, except public administration",2022,212128
"Los Angeles city, California","Others, except public administration",2022,118803
"Chicago city, Illinois","Others, except public administration",2022,66739
"Houston city, Texas","Others, except public administration",2022,60570
"Washington city, District of Columbia","Others, except public administration",2022,39280
"Phoenix city, Arizona","Others, except public administration",2022,37225
"Philadelphia city, Pennsylvania","Others, except public administration",2022,35890
"San Diego city, California","Others, except public administration",2022,33684
"Dallas city, Texas","Others, except public administration",2022,33549
"San Antonio city, Texas","Others, except public administration",2022,32808
"Austin city, Texas","Others, except public administration",2022,25715
"Jacksonville city, Florida","Others, except public administration",2022,25347
"Columbus city, Ohio","Others, except public administration",2022,24261
"Fort Worth city, Texas","Others, except public administration",2022,23847
"Charlotte city, North Carolina","Others, except public administration",2022,21523
"San Jose city, California","Others, except public administration",2022,20603
"Oklahoma City city, Oklahoma","Others, except public administration",2022,20138
"Seattle city, Washington","Others, except public administration",2022,19507
"Indianapolis city (balance), Indiana","Others, except public administration",2022,19295
"Nashville-Davidson metropolitan government (balance), Tennessee","Others, except public administration",2022,18393
"New York city, New York",Public Administration,2022,156404
"Washington city, District of Columbia",Public Administration,2022,67994
"Los Angeles city, California",Public Administration,2022,48614
"Chicago city, Illinois",Public Administration,2022,46406
"Philadelphia city, Pennsylvania",Public Administration,2022,42500
"Austin city, Texas",Public Administration,2022,32750
"Sacramento city, California",Public Administration,2022,31807
"San Antonio city, Texas",Public Administration,2022,29578
"San Diego city, California",Public Administration,2022,29405
"Baltimore city, Maryland",Public Administration,2022,27459
"Phoenix city, Arizona",Public Administration,2022,27329
"Houston city, Texas",Public Administration,2022,26940
"Oklahoma City city, Oklahoma",Public Administration,2022,26275
"Arlington CDP, Virginia",Public Administration,2022,24893
"Albuquerque city, New Mexico",Public Administration,2022,19010
"El Paso city, Texas",Public Administration,2022,18433
"Indianapolis city (balance), Indiana",Public Administration,2022,18312
"Virginia Beach city, Virginia",Public Administration,2022,17877
"Fort Worth city, Texas",Public Administration,2022,17721
"Fresno city, California",Public Administration,2022,16904
"Houston city, Texas",Agriculture,2021,27336
"Oxnard city, California",Agriculture,2021,16041
"Salinas city, California",Agriculture,2021,15942
"Bakersfield city, California",Agriculture,2021,12457
"Santa Maria city, California",Agriculture,2021,11849
"Fresno city, California",Agriculture,2021,9530
"Midland city, Texas",Agriculture,2021,9258
"Oklahoma City city, Oklahoma",Agriculture,2021,8522
"Los Angeles city, California",Agriculture,2021,8215
"San Antonio city, Texas",Agriculture,2021,6343
"Odessa city, Texas",Agriculture,2021,6011
"Delano city, California",Agriculture,2021,5228
"Madera city, California",Agriculture,2021,4870
"Porterville city, California",Agriculture,2021,4621
"Tulare city, California",Agriculture,2021,4277
"Stockton city, California",Agriculture,2021,4130
"Pasco city, Washington",Agriculture,2021,3742
"Santa Ana city, California",Agriculture,2021,3714
"Phoenix city, Arizona",Agriculture,2021,3630
"New York city, New York",Agriculture,2021,3595
"New York city, New York",Construction,2021,193816
"Houston city, Texas",Construction,2021,126480
"Los Angeles city, California",Construction,2021,125571
"Phoenix city, Arizona",Construction,2021,69408
"Dallas city, Texas",Construction,2021,64003
"San Antonio city, Texas",Construction,2021,63902
"Chicago city, Illinois",Construction,2021,50862
"Fort Worth city, Texas",Construction,2021,40956
"Charlotte city, North Carolina",Construction,2021,36646
"San Diego city, California",Construction,2021,33966
"San Jose city, California",Construction,2021,33895
"Austin city, Texas",Construction,2021,30665
"Jacksonville city, Florida",Construction,2021,29508
"Philadelphia city, Pennsylvania",Construction,2021,27786
"Denver city, Colorado",Construction,2021,27034
"Oklahoma City city, Oklahoma",Construction,2021,25602
"Las Vegas city, Nevada",Construction,2021,25117
"Miami city, Florida",Construction,2021,24378
"Indianapolis city (balance), Indiana",Construction,2021,24000
"Nashville-Davidson metropolitan government (balance), Tennessee",Construction,2021,23470
"Los Angeles city, California",Manufacturing,2021,133327
"New York city, New York",Manufacturing,2021,113939
"Chicago city, Illinois",Manufacturing,2021,112344
"Houston city, Texas",Manufacturing,2021,89464
"San Jose city, California",Manufacturing,2021,87061
"San Diego city, California",Manufacturing,2021,64994
"Phoenix city, Arizona",Manufacturing,2021,62039
"Philadelphia city, Pennsylvania",Manufacturing,2021,50036
"Dallas city, Texas",Manufacturing,2021,49833
"Indianapolis city (balance), Indiana",Manufacturing,2021,47477
"Austin city, Texas",Manufacturing,2021,45693
"Fort Worth city, Texas",Manufacturing,2021,43273
"Columbus city, Ohio",Manufacturing,2021,38981
"San Antonio city, Texas",Manufacturing,2021,38948
"Louisville/Jefferson County metro government (balance), Kentucky",Manufacturing,2021,37690
"Charlotte city, North Carolina",Manufacturing,2021,37673
"Detroit city, Michigan",Manufacturing,2021,37191
"Milwaukee city, Wisconsin",Manufacturing,2021,37151
"Portland city, Oregon",Manufacturing,2021,30518
"Wichita city, Kansas",Manufacturing,2021,27756
"New York city, New York",Wholesale,2021,65880
"Los Angeles city, California",Wholesale,2021,49019
"Houston city, Texas",Wholesale,2021,28457
"Chicago city, Illinois",Wholesale,2021,27833
"Dallas city, Texas",Wholesale,2021,18814
"Phoenix city, Arizona",Wholesale,2021,18388
"Charlotte city, North Carolina",Wholesale,2021,13514
"San Diego city, California",Wholesale,2021,13378
"San Antonio city, Texas",Wholesale,2021,13374
"Indianapolis city (balance), Indiana",Wholesale,2021,11919
"Philadelphia city, Pennsylvania",Wholesale,2021,11339
"Fort Worth city, Texas",Wholesale,2021,11092
"Jacksonville city, Florida",Wholesale,2021,10647
"Denver city, Colorado",Wholesale,2021,10283
"Columbus city, Ohio",Wholesale,2021,10010
"Austin city, Texas",Wholesale,2021,10006
"Nashville-Davidson metropolitan government (balance), Tennessee",Wholesale,2021,9704
"San Francisco city, California",Wholesale,2021,9230
"Portland city, Oregon",Wholesale,2021,8765
"Oklahoma City city, Oklahoma",Wholesale,2021,7767
"New York city, New York",Retail,2021,333314
"Los Angeles city, California",Retail,2021,182096
"Houston city, Texas",Retail,2021,113014
"Chicago city, Illinois",Retail,2021,113008
"Phoenix city, Arizona",Retail,2021,93710
"Dallas city, Texas",Retail,2021,70385
"San Antonio city, Texas",Retail,2021,68879
"Philadelphia city, Pennsylvania",Retail,2021,66675
"San Diego city, California",Retail,2021,66103
"Columbus city, Ohio",Retail,2021,56467
"Jacksonville city, Florida",Retail,2021,54465
"Indianapolis city (balance), Indiana",Retail,2021,54398
"Seattle city, Washington",Retail,2021,50934
"Charlotte city, North Carolina",Retail,2021,50811
"Austin city, Texas",Retail,2021,50664
"Fort Worth city, Texas",Retail,2021,48203
"San Jose city, California",Retail,2021,44330
"Oklahoma City city, Oklahoma",Retail,2021,42574
"Portland city, Oregon",Retail,2021,40505
"Las Vegas city, Nevada",Retail,2021,37767
"New York city, New York",Transportation,2021,245024
"Los Angeles city, California",Transportation,2021,96937
"Chicago city, Illinois",Transportation,2021,86981
"Houston city, Texas",Transportation,2021,71230
"Phoenix city, Arizona",Transportation,2021,50195
"Philadelphia city, Pennsylvania",Transportation,2021,45856
"Fort Worth city, Texas",Transportation,2021,44410
"Dallas city, Texas",Transportation,2021,42311
"Columbus city, Ohio",Transportation,2021,41056
"Memphis city, Tennessee",Transportation,2021,40712
"Indianapolis city (balance), Indiana",Transportation,2021,40337
"San Antonio city, Texas",Transportation,2021,38286
"Jacksonville city, Florida",Transportation,2021,35969
"Louisville/Jefferson County metro government (balance), Kentucky",Transportation,2021,35020
"Charlotte city, North Carolina",Transportation,2021,34282
"San Diego city, California",Transportation,2021,30628
"Austin city, Texas",Transportation,2021,23082
"Oklahoma City city, Oklahoma",Transportation,2021,22222
"El Paso city, Texas",Transportation,2021,21289
"Arlington city, Texas",Transportation,2021,20796
"New York city, New York",Information,2021,146941
"Los Angeles city, California",Information,2021,118874
"San Francisco city, California",Information,2021,29115
"Chicago city, Illinois",Information,2021,27468
"Seattle city, Washington",Information,2021,26189
"San Jose city, California",Information,2021,25464
"Austin city, Texas",Information,2021,19611
"Philadelphia city, Pennsylvania",Information,2021,15009
"Denver city, Colorado",Information,2021,14589
"San Diego city, California",Information,2021,14260
"Dallas city, Texas",Information,2021,12642
"Houston city, Texas",Information,2021,11757
"Washington city, District of Columbia",Information,2021,11648
"Phoenix city, Arizona",Information,2021,11497
"Charlotte city, North Carolina",Information,2021,10938
"Nashville-Davidson metropolitan government (balance), Tennessee",Information,2021,10476
"Sunnyvale city, California",Information,2021,10363
"Columbus city, Ohio",Information,2021,10034
"Oakland city, California",Information,2021,9406
"Atlanta city, Georgia",Information,2021,9060
"New York city, New York",Finance and Real Estate,2021,349256
"Chicago city, Illinois",Finance and Real Estate,2021,120752
"Los Angeles city, California",Finance and Real Estate,2021,116583
"Phoenix city, Arizona",Finance and Real Estate,2021,85369
"Charlotte city, North Carolina",Finance and Real Estate,2021,72261
"Houston city, Texas",Finance and Real Estate,2021,69092
"Dallas city, Texas",Finance and Real Estate,2021,65161
"San Antonio city, Texas",Finance and Real Estate,2021,57780
"Jacksonville city, Florida",Finance and Real Estate,2021,51746
"San Diego city, California",Finance and Real Estate,2021,46410
"Columbus city, Ohio",Finance and Real Estate,2021,44568
"Austin city, Texas",Finance and Real Estate,2021,42634
"Philadelphia city, Pennsylvania",Finance and Real Estate,2021,42280
"Fort Worth city, Texas",Finance and Real Estate,2021,38300
"Denver city, Colorado",Finance and Real Estate,2021,36967
"San Francisco city, California",Finance and Real Estate,2021,34554
"Nashville-Davidson metropolitan government (balance), Tennessee",Finance and Real Estate,2021,31504
"Indianapolis city (balance), Indiana",Finance and Real Estate,2021,31036
"Boston city, Massachusetts",Finance and Real Estate,2021,28908
"Seattle city, Washington",Finance and Real Estate,2021,27346
"New York city, New York","Professional, scientific, and management, and administrative and waste management services",2021,577905
"Los Angeles city, California","Professional, scientific, and management, and administrative and waste management services",2021,291281
"Chicago city, Illinois","Professional, scientific, and management, and administrative and waste management services",2021,238620
"Houston city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,175031
"San Diego city, California","Professional, scientific, and management, and administrative and waste management services",2021,137247
"Austin city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,131026
"San Francisco city, California","Professional, scientific, and management, and administrative and waste management services",2021,124045
"Phoenix city, Arizona","Professional, scientific, and management, and administrative and waste management services",2021,114372
"Seattle city, Washington","Professional, scientific, and management, and administrative and waste management services",2021,107887
"Dallas city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,99933
"San Jose city, California","Professional, scientific, and management, and administrative and waste management services",2021,97117
"Philadelphia city, Pennsylvania","Professional, scientific, and management, and administrative and waste management services",2021,97026
"Washington city, District of Columbia","Professional, scientific, and management, and administrative and waste management services",2021,95313
"Denver city, Colorado","Professional, scientific, and management, and administrative and waste management services",2021,83661
"San Antonio city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,82413
"Charlotte city, North Carolina","Professional, scientific, and management, and administrative and waste management services",2021,73524
"Boston city, Massachusetts","Professional, scientific, and management, and administrative and waste management services",2021,72130
"Portland city, Oregon","Professional, scientific, and management, and administrative and waste management services",2021,62131
"Atlanta city, Georgia","Professional, scientific, and management, and administrative and waste management services",2021,61346
"Jacksonville city, Florida","Professional, scientific, and management, and administrative and waste management services",2021,60339
"New York city, New York",Education and Health,2021,1126799
"Los Angeles city, California",Education and Health,2021,386951
"Chicago city, Illinois",Education and Health,2021,327946
"Philadelphia city, Pennsylvania",Education and Health,2021,234691
"Houston city, Texas",Education and Health,2021,227410
"San Antonio city, Texas",Education and Health,2021,161727
"Phoenix city, Arizona",Education and Health,2021,160463
"San Diego city, California",Education and Health,2021,156682
"Dallas city, Texas",Education and Health,2021,121518
"Boston city, Massachusetts",Education and Health,2021,114661
"Columbus city, Ohio",Education and Health,2021,113227
"Austin city, Texas",Education and Health,2021,107247
"San Francisco city, California",Education and Health,2021,97923
"Seattle city, Washington",Education and Health,2021,97535
"San Jose city, California",Education and Health,2021,96387
"Indianapolis city (balance), Indiana",Education and Health,2021,94132
"Fort Worth city, Texas",Education and Health,2021,92442
"Baltimore city, Maryland",Education and Health,2021,90047
"Jacksonville city, Florida",Education and Health,2021,89283
"Denver city, Colorado",Education and Health,2021,88172
"New York city, New York","Arts, Entertainment, and Food",2021,300639
"Los Angeles city, California","Arts, Entertainment, and Food",2021,204930
"Chicago city, Illinois","Arts, Entertainment, and Food",2021,108068
"Houston city, Texas","Arts, Entertainment, and Food",2021,95107
"San Antonio city, Texas","Arts, Entertainment, and Food",2021,77603
"Phoenix city, Arizona","Arts, Entertainment, and Food",2021,73196
"San Diego city, California","Arts, Entertainment, and Food",2021,62037
"Las Vegas city, Nevada","Arts, Entertainment, and Food",2021,56170
"Philadelphia city, Pennsylvania","Arts, Entertainment, and Food",2021,53795
"Dallas city, Texas","Arts, Entertainment, and Food",2021,51531
"Austin city, Texas","Arts, Entertainment, and Food",2021,48403
"Jacksonville city, Florida","Arts, Entertainment, and Food",2021,45684
"Columbus city, Ohio","Arts, Entertainment, and Food",2021,42594
"Fort Worth city, Texas","Arts, Entertainment, and Food",2021,42071
"Nashville-Davidson metropolitan government (balance), Tennessee","Arts, Entertainment, and Food",2021,38356
"Charlotte city, North Carolina","Arts, Entertainment, and Food",2021,37507
"Indianapolis city (balance), Indiana","Arts, Entertainment, and Food",2021,35395
"San Jose city, California","Arts, Entertainment, and Food",2021,34590
"Tucson city, Arizona","Arts, Entertainment, and Food",2021,32649
"Seattle city, Washington","Arts, Entertainment, and Food",2021,31633
"New York city, New York","Others, except public administration",2021,185393
"Los Angeles city, California","Others, except public administration",2021,109548
"Chicago city, Illinois","Others, except public administration",2021,61986
"Houston city, Texas","Others, except public administration",2021,58459
"Phoenix city, Arizona","Others, except public administration",2021,36784
"San Antonio city, Texas","Others, except public administration",2021,34310
"Dallas city, Texas","Others, except public administration",2021,33834
"Washington city, District of Columbia","Others, except public administration",2021,32384
"San Diego city, California","Others, except public administration",2021,28344
"Philadelphia city, Pennsylvania","Others, except public administration",2021,27444
"Austin city, Texas","Others, except public administration",2021,26744
"Fort Worth city, Texas","Others, except public administration",2021,25585
"Jacksonville city, Florida","Others, except public administration",2021,23130
"Seattle city, Washington","Others, except public administration",2021,21364
"Denver city, Colorado","Others, except public administration",2021,21226
"Portland city, Oregon","Others, except public administration",2021,21173
"Charlotte city, North Carolina","Others, except public administration",2021,20796
"Columbus city, Ohio","Others, except public administration",2021,18666
"Nashville-Davidson metropolitan government (balance), Tennessee","Others, except public administration",2021,18158
"San Jose city, California","Others, except public administration",2021,17755
"New York city, New York",Public Administration,2021,158433
"Washington city, District of Columbia",Public Administration,2021,65816
"Chicago city, Illinois",Public Administration,2021,57999
"Los Angeles city, California",Public Administration,2021,48378
"Philadelphia city, Pennsylvania",Public Administration,2021,40749
"Austin city, Texas",Public Administration,2021,32736
"Sacramento city, California",Public Administration,2021,32633
"San Diego city, California",Public Administration,2021,32139
"Phoenix city, Arizona",Public Administration,2021,27481
"San Antonio city, Texas",Public Administration,2021,26990
"Houston city, Texas",Public Administration,2021,26662
"Arlington CDP, Virginia",Public Administration,2021,23175
"Baltimore city, Maryland",Public Administration,2021,22781
"Albuquerque city, New Mexico",Public Administration,2021,22775
"Jacksonville city, Florida",Public Administration,2021,22088
"Oklahoma City city, Oklahoma",Public Administration,2021,22016
"Indianapolis city (balance), Indiana",Public Administration,2021,20295
"El Paso city, Texas",Public Administration,2021,19971
"Columbus city, Ohio",Public Administration,2021,18789
"Virginia Beach city, Virginia",Public Administration,2021,18154
